3059;AZUL                                              ;AZUL                                                                                                ;
3060;PODEMOS                                           ;PODEMOS                                                                                             ;
3061;ORGULLO FUEGUINO                                  ;ORGULLO FUEGUINO                                                                                    ;
3062;CELESTE                                           ;CELESTE                                                                                             ;
3063;COMPROMISO CIUDADANO, TRABAJO Y HONESTIDAD        ;COMPROMISO CIUDADANO, TRABAJO Y HONESTIDAD                                                          ;
3064;DESARROLLO AGRO INDUSTRIAL                        ;DESARROLLO AGRO INDUSTRIAL                                                                          ;
3065;SANTA FE SEGURA                                   ;SANTA FE SEGURA                                                                                     ;
3066;ESPACIO Y DESARROLLO                              ;ESPACIO Y DESARROLLO                                                                                ;
3067;ACCION POPULAR                                    ;ACCION POPULAR                                                                                      ;
3068;CRUZADA SANTIAGUEÑA                               ;CRUZADA SANTIAGUEÑA                                                                                 ;
3069;LA PATRIA SOMOS TODOS                             ;LA PATRIA SOMOS TODOS                                                                               ;
3070;MOVIMIENTO DE RENOVACION SANTAFESINA              ;MOVIMIENTO DE RENOVACION SANTAFESINA                                                                ;
3071;MUJERES UNIDAS                                    ;MUJERES UNIDAS                                                                                      ;
3072;PROTAGONISTAS                                     ;PROTAGONISTAS                                                                                       ;
3073;RED CIUDADANA SANTAFESINA                         ;RED CIUDADANA SANTAFESINA                                                                           ;
3074;UNA SANTA FE RENOVADA                             ;UNA SANTA FE RENOVADA                                                                               ;
3075;CELESTE Y BLANCA                                  ;CELESTE Y BLANCA                                                                                    ;
3076;1 PROVINCIA                                       ;1 PROVINCIA                                                                                         ;
3077;PROPUESTA AUTONOMISTA                             ;PROPUESTA AUTONOMISTA                                                                               ;
3078;AZUL Y BLANCA                                     ;AZUL Y BLANCA                                                                                       ;
3079;CELESTE Y BLANCA                                  ;CELESTE Y BLANCA                                                                                    ;
3080;UNIDAD                                            ;UNIDAD                                                                                              ;
3081;SANJUANINO                                        ;SANJUANINO                                                                                          ;
3082;JUNTOS                                            ;JUNTOS                                                                                              ;
3083;VERDE K                                           ;VERDE K                                                                                             ;
3084;HONESTIDAD Y PARTICIPACION                        ;HONESTIDAD Y PARTICIPACION                                                                          ;
3085;IZQUIERDA AL FRENTE                               ;IZQUIERDA AL FRENTE                                                                                 ;
3086;UNIDAD DE LA IZQUIERDA                            ;UNIDAD DE LA IZQUIERDA                                                                              ;
3087;QUE LOS PUEBLOS MANDEN                            ;QUE LOS PUEBLOS MANDEN                                                                              ;
3088;CIUDADANOS RESPONSABLES                           ;CIUDADANOS RESPONSABLES                                                                             ;
3089;COMPRENSION                                       ;COMPRENSION                                                                                         ;
3090;ESPERANZA SANTAFESINA                             ;ESPERANZA SANTAFESINA                                                                               ;
3091;FRENTE DE UNIDAD NACIENTE                         ;FRENTE DE UNIDAD NACIENTE                                                                           ;
3092;FUERZA PARA EL CAMBIO                             ;FUERZA PARA EL CAMBIO                                                                               ;
3093;JUNTOS PARA GANAR                                 ;JUNTOS PARA GANAR                                                                                   ;
3094;NUEVA DEMOCRACIA                                  ;NUEVA DEMOCRACIA                                                                                    ;
